aX,aY,aZ,gX,gY,gZ
-0.964,-0.058,-0.219,0.671,0.488,0.061
-0.964,-0.054,-0.219,0.549,0.61,0.122
-0.965,-0.052,-0.213,0.61,0.732,0.244
-0.963,-0.055,-0.215,-0.488,0.183,-0.366
-0.965,-0.053,-0.216,0.549,0.122,-0.122
-0.965,-0.057,-0.22,0.916,0.183,0.732
-0.964,-0.056,-0.224,0.305,0.183,-0.061
-0.964,-0.058,-0.215,-0.549,0.183,-0.061
-0.965,-0.059,-0.213,0.244,0.183,0.061
-0.963,-0.056,-0.214,0.732,0.183,0.488
-0.965,-0.065,-0.216,0.122,0.305,0.244
-0.963,-0.056,-0.215,0.122,0.427,0.305
-0.964,-0.063,-0.217,0.366,0.366,0.305
-0.964,-0.064,-0.215,0.244,0.366,0.183
-0.966,-0.063,-0.213,0.488,0.366,0.366
-0.964,-0.066,-0.212,0.427,0.061,0.366
-0.965,-0.065,-0.215,0.122,0.427,0.122
-0.963,-0.066,-0.21,0.366,-0.061,0.0
-0.964,-0.067,-0.215,0.549,0.061,-0.183
-0.964,-0.064,-0.213,0.488,0.305,0.0
-0.966,-0.065,-0.215,-0.122,0.488,0.0
-0.962,-0.063,-0.213,0.427,0.488,0.244
-0.965,-0.068,-0.214,0.427,0.427,0.122
-0.962,-0.067,-0.212,-0.061,0.305,0.061
-0.964,-0.064,-0.209,0.366,0.244,0.0
-0.965,-0.063,-0.214,-0.488,0.244,-0.305

-0.942,-0.482,0.247,36.56,14.587,1.404
-0.91,-0.57,0.275,43.518,21.057,6.348
-0.868,-0.666,0.298,51.27,27.71,13.367
-0.824,-0.777,0.308,57.861,33.508,21.667
-0.778,-0.882,0.319,63.538,38.025,31.555
-0.736,-1.004,0.295,65.857,41.504,42.419
-0.672,-0.895,-0.001,-24.475,53.345,87.646
-1.752,-0.176,0.082,-97.9,99.304,95.398
-1.438,-0.605,0.097,-28.625,87.524,122.253
-1.498,-0.086,0.163,-6.165,71.106,161.499
-1.393,-0.235,-0.031,-7.874,81.116,145.874
-1.416,-0.336,0.214,15.686,85.266,145.142
-1.214,-0.335,0.291,34.485,58.899,113.708
-0.469,-0.04,0.022,-20.996,-5.554,-21.912
-0.218,-0.249,-0.514,42.847,-36.987,-26.611
0.058,0.602,-0.871,15.259,-91.492,-64.941
0.385,0.475,0.632,7.446,-112.427,-102.173
-0.938,0.157,-0.081,-172.424,4.883,-14.587
-2.459,-0.401,-0.34,101.562,-54.565,-63.11
-1.808,-0.366,-1.042,-3.54,-103.943,-184.509
-2.218,-1.925,0.608,48.218,-138.855,-180.359
-1.799,-1.871,1.17,12.939,-99.609,-164.551
-1.266,-1.193,1.585,-3.479,-71.655,-132.263
-0.394,-0.104,0.709,-8.545,23.926,-12.207
-0.071,-0.607,0.05,36.926,45.715,-1.465
0.33,-1.055,0.309,12.878,20.264,58.655
