aX,aY,aZ,gX,gY,gZ
-0.957,0.108,-0.234,35.156,-2.808,2.38
-0.952,0.094,-0.251,3.784,-4.944,-0.427
-0.92,0.138,-0.247,-23.315,6.104,-12.268
-0.934,0.165,-0.171,-26.55,6.042,-18.372
-0.935,0.2,-0.175,-26.367,5.371,-18.982
-0.941,0.219,-0.145,-23.682,4.028,-18.372
-0.948,0.221,-0.134,-21.973,3.784,-17.273
-0.969,0.214,-0.121,-12.817,0.916,-9.949
-0.954,0.21,-0.125,-6.836,-0.488,-4.639
-0.944,0.211,-0.153,-2.38,-1.831,-1.16
-0.949,0.192,-0.178,4.578,-3.967,0.854
-0.951,0.184,-0.201,12.634,-2.686,1.221
-0.971,0.195,-0.191,11.597,-3.723,-1.587
-0.909,0.188,-0.179,0.427,-0.488,-1.343
-0.94,0.203,-0.207,-8.057,2.808,-2.38
-0.936,0.204,-0.19,-6.714,3.662,-2.38
-0.934,0.215,-0.22,-7.629,-0.488,-2.808
-0.941,0.204,-0.189,-6.042,-3.174,-3.601
-0.945,0.203,-0.122,-0.122,-2.991,-3.54
-0.947,0.21,-0.164,1.16,-2.136,-0.549
-0.929,0.207,-0.202,3.235,-0.488,-0.183
-0.927,0.207,-0.207,2.869,-1.831,-0.305
-0.947,0.197,-0.195,1.16,-0.793,-0.916
-0.94,0.194,-0.188,-0.305,-0.183,-0.977
-0.943,0.197,-0.178,-1.648,1.709,-0.671
-0.943,0.202,-0.183,-2.808,2.136,-0.244
-0.93,0.218,-0.187,-2.686,0.671,0.366
-0.926,0.224,-0.191,-2.197,0.244,0.61
-0.93,0.231,-0.19,0.183,-0.61,0.793
-0.926,0.224,-0.194,4.089,-0.732,1.831
-0.937,0.209,-0.184,3.662,-1.16,1.709
-0.943,0.194,-0.191,3.357,-0.549,1.526
-0.933,0.193,-0.194,3.357,-1.038,1.648
-0.945,0.19,-0.179,-0.061,-0.854,0.732
-0.939,0.192,-0.191,-1.465,0.427,1.221
-0.94,0.197,-0.195,-0.732,0.183,1.343
-0.94,0.198,-0.191,-0.305,0.122,1.282
-0.938,0.204,-0.186,1.038,0.183,1.892
-0.938,0.202,-0.187,1.526,0.244,2.014
-0.936,0.193,-0.186,2.197,-0.122,2.319
-0.943,0.188,-0.189,2.93,-0.244,2.38
-0.942,0.186,-0.19,2.869,-0.305,2.258
-0.945,0.186,-0.185,2.197,-0.305,2.319
-0.943,0.188,-0.186,1.892,-0.061,2.197
-0.938,0.188,-0.195,0.916,0.61,1.831
-0.935,0.192,-0.197,1.16,0.122,1.343
-0.934,0.191,-0.191,1.038,0.0,1.404
-0.943,0.193,-0.187,0.793,0.549,1.404
-0.941,0.188,-0.182,0.916,0.183,1.282
-0.937,0.185,-0.184,0.977,0.305,1.648
-0.938,0.186,-0.191,1.221,-0.427,2.014

-0.969,-0.434,0.257,21.667,53.772,59.814
-0.973,-0.469,0.384,24.963,56.458,67.749
-0.944,-0.405,0.406,23.682,66.04,76.965
-0.917,-0.236,0.274,10.132,79.773,84.29
-0.883,-0.073,0.092,-4.517,90.332,87.463
-0.825,0.067,-0.044,-12.085,93.689,87.585
-0.746,0.162,0.07,54.504,81.421,72.449
-0.776,0.25,0.108,62.378,53.589,74.219
-0.816,-0.285,0.037,80.322,60.242,86.792
-0.772,-0.365,-0.024,90.759,52.551,101.257
-0.829,-0.364,0.321,81.055,40.955,109.802
-0.931,-0.316,0.128,78.674,71.96,108.887
-0.95,-0.258,0.079,80.505,72.876,107.971
-0.905,-0.141,0.034,54.993,72.693,103.699
-0.871,-0.274,0.043,59.937,62.134,101.685
-1.046,-0.411,0.191,43.152,53.589,110.352
-1.036,-0.463,0.305,30.945,64.575,112.305
-0.979,-0.402,0.283,8.118,78.857,94.727
-0.739,-0.441,0.331,28.076,69.214,98.633
-0.756,-0.566,0.353,32.349,66.589,96.436
-0.706,-0.68,0.239,22.766,70.068,91.187
-0.554,-0.809,0.194,15.625,48.767,98.328
-0.398,-0.851,0.316,23.315,20.63,96.13
-0.355,-0.917,0.344,22.949,19.104,94.238
-0.391,-0.954,0.307,3.296,23.438,93.75
-0.447,-0.711,0.324,10.315,15.747,92.773
-0.469,-0.766,0.324,21.179,10.925,88.684
-0.333,-1.282,0.474,24.109,9.338,69.336
